NAMELSAD,Stops Per 1000 People,>30 Min Commute Percent,Percentage of occupied housing units with no vehicles available,Percentage of the population 65 years and older,Percentage of the population without health insurance coverage,Percentage of the population with a disability,% Of Homes Built Before 1960 (Lead Paint),EJ Index for Diesel Particulate Matter (2017),EJ Index for 2017 Air Toxics Cancer Risk,EJ Index for Traffic Proximity,EJ Index for Particulate Matter 2.5,EJ Index for Ozone,Percentage of population over age 25 without a high school diploma (including GED),Percentage of Occupied Housing Units not by Property Owner,Percentage of the labor force unemployed,Gini Index of income inequality (income distribution across a population),% Low Income,Percentage of Persons Below 150% Poverty Estimate (Federal Poverty Level),"Percentage of housing cost burdened occupied housing units with annual income less than $75,000 (30%+ of incomespent on housing costs)",Expected Annual Loss - Score - Composite,Percentage of limited English-speaking households
Census Tract 1.02,2.999727298,0.366,5.141727093,10.08999182,4.254158713,8.481047178,0.703870968,28.21243523,28.50940824,26.72757022,22.56994819,13.36378511,4.914004914,27.93548387,3.61800589,0.4401,0.216253068,0,20.9,30.09253822,0
Census Tract 10,2.230784831,0.435,6.433479076,19.1036301,20.03650375,9.734333807,0.562148657,63.6611235,65.01561549,61.62938552,48.76171162,31.83056175,26.93014706,62.14865709,3.049070986,0.4955,0.48387751,34.8,46.3,51.62294196,32.10493442
Census Tract 2.01,5.323868678,0.475,14.87771739,15.88287489,7.500759186,14.48527179,0.616623711,37.20716284,37.20716284,36.81958822,33.33141671,12.40238761,16.94484761,44.58762887,3.43454455,0.484,0.247494686,15.6,31.1,29.68504122,4.6875
Census Tract 2.02,5.707762557,0.345,7.056229327,12.55707763,7.328767123,14.5890411,0.672351421,41.37031963,40.5260274,39.68173516,35.46027397,13.08652968,20.51358615,54.05684755,4.734631539,0.44,0.263242009,25.7,28.1,35.39352232,5.78831312
Census Tract 3.01,3.516564871,0.386,11.02423769,12.86322413,3.576084932,11.41739616,0.729586024,19.89866965,20.10812933,15.081097,15.91893572,9.425685623,7.52108716,31.0672237,1.058512202,0.4507,0.188861985,12.6,15.6,51.76738615,5.824863174
Census Tract 11.01,5.642885933,0.448,4.204204204,9.955663039,11.38177236,11.08777824,0.683768657,45.01549857,43.65139256,28.64622636,38.19496849,12.27695416,15.32258065,50.18656716,1.951854262,0.4868,0.363253266,26.7,34.3,20.16464288,8.008008008
Census Tract 3.02,2.878881349,0.424,2.229995627,8.328192474,4.374870413,2.778353722,0.597686375,15.89057211,16.05784129,12.54518851,12.21065015,8.363459005,0.955253896,30.93401885,1.879194631,0.4436,0.12150114,7.1,17.7,36.39406252,0
Census Tract 3.03,3.352395977,0.334,5.787234043,10.41214751,4.673826571,9.407319014,0.715231788,23.55417455,23.80211323,16.8598302,18.84333964,10.41342454,2.876219825,42.18932606,3.297835795,0.5111,0.255293648,17.4,24.3,45.32846372,0.510638298
Census Tract 4.01,2.930207778,0.253,10.78296703,11.45444859,1.118806606,8.391049547,0.837730871,32.15769845,29.47789025,18.75865743,27.13305807,11.38918487,12.11230819,42.34828496,1.942103335,0.4147,0.209643047,17.7,26,25.8378937,1.167582418
Census Tract 11.02,3.113325031,0.356,4.931972789,5.064342051,9.609796596,7.638024076,0.370293753,18.96195225,16.85506867,18.96195225,15.70585944,5.554511265,6.763403837,63.71534961,5.208845209,0.444,0.14147572,10.5,24.7,45.12999977,2.295918367
