NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,Stops Per 1000 People,Stops Percentile Score,>30 Min Commute Percent,Commute Percentile Score,Percentage of occupied housing units with no vehicles available,No Vehicle Percentile Score,Percentage of the population 65 years and older,Age Percentile Score,Percentage of the population without health insurance coverage,Insurance Percentile Score,Percentage of the population with a disability,Disability Percentile Score,% Of Homes Built Before 1960 (Lead Paint),Lead Paint Percentile Score,EJ Index for Diesel Particulate Matter (2017),Diesel Particulate Matter Percentile Score,EJ Index for 2017 Air Toxics Cancer Risk,Air Toxic Cancer Percentile Score,EJ Index for Traffic Proximity,Traffic Proximity Percentile Score,EJ Index for Particulate Matter 2.5,Particulate Matter 2.5 Percentile Score,EJ Index for Ozone,Ozone Level Percentile Score,Percentage of population over age 25 without a high school diploma (including GED),High School Education Percentile Score,Percentage of Occupied Housing Units not by Property Owner,Renter Percentile Score,Percentage of the labor force unemployed,Unemployment Percentile Score,Gini Index of income inequality (income distribution across a population),GINI Index Percentile Score,% Low Income,Low Income Percentile Score,Percentage of Persons Below 150% Poverty Estimate (Federal Poverty Level),Federal Poverty Percentile Score,"Percentage of housing cost burdened occupied housing units with annual income less than $75,000 (30%+ of incomespent on housing costs)",Housing Burden Percentile Score,Expected Annual Loss - Score - Composite,Expected Annual Loss Percentile Score,Percentage of limited English-speaking households,Linguistic Isolation Percentile Score
Census Tract 10,1,6,2.230784831,0.741573034,0.435,0.735955056,6.433479076,0.460674157,19.1036301,0.859550562,20.03650375,0.921348315,9.734333807,0.533707865,0.562148657,0.584269663,63.6611235,0.960674157,65.01561549,0.960674157,61.62938552,0.971910112,48.76171162,0.887640449,31.83056175,0.915730337,26.93014706,0.887640449,62.14865709,0.629213483,3.049070986,0.382022472,0.4955,0.808988764,0.48387751,0.915730337,34.8,0.904494382,46.3,0.926966292,51.62294196,0.808988764,32.10493442,0.994382022
Census Tract 2.01,1,5,5.323868678,0.224719101,0.475,0.859550562,14.87771739,0.775280899,15.88287489,0.786516854,7.500759186,0.573033708,14.48527179,0.870786517,0.616623711,0.651685393,37.20716284,0.730337079,37.20716284,0.730337079,36.81958822,0.820224719,33.33141671,0.724719101,12.40238761,0.601123596,16.94484761,0.786516854,44.58762887,0.404494382,3.43454455,0.43258427,0.484,0.752808989,0.247494686,0.488764045,15.6,0.45505618,31.1,0.511235955,29.68504122,0.382022472,4.6875,0.713483146
Census Tract 2.02,1,4,5.707762557,0.196629213,0.345,0.415730337,7.056229327,0.471910112,12.55707763,0.629213483,7.328767123,0.539325843,14.5890411,0.882022472,0.672351421,0.724719101,41.37031963,0.780898876,40.5260274,0.758426966,39.68173516,0.853932584,35.46027397,0.752808989,13.08652968,0.623595506,20.51358615,0.820224719,54.05684755,0.511235955,4.734631539,0.657303371,0.44,0.483146067,0.263242009,0.561797753,25.7,0.735955056,28.1,0.387640449,35.39352232,0.561797753,5.78831312,0.775280899
Census Tract 3.01,1,4,3.516564871,0.443820225,0.386,0.606741573,11.02423769,0.629213483,12.86322413,0.657303371,3.576084932,0.230337079,11.41739616,0.702247191,0.729586024,0.837078652,19.89866965,0.370786517,20.10812933,0.348314607,15.081097,0.325842697,15.91893572,0.280898876,9.425685623,0.438202247,7.52108716,0.58988764,31.0672237,0.213483146,1.058512202,0.078651685,0.4507,0.561797753,0.188861985,0.348314607,12.6,0.342696629,15.6,0.106741573,51.76738615,0.814606742,5.824863174,0.780898876
Census Tract 11.01,1,4,5.642885933,0.202247191,0.448,0.797752809,4.204204204,0.320224719,9.955663039,0.443820225,11.38177236,0.747191011,11.08777824,0.674157303,0.683768657,0.758426966,45.01549857,0.797752809,43.65139256,0.792134831,28.64622636,0.646067416,38.19496849,0.792134831,12.27695416,0.595505618,15.32258065,0.758426966,50.18656716,0.47752809,1.951854262,0.230337079,0.4868,0.764044944,0.363253266,0.747191011,26.7,0.764044944,34.3,0.629213483,20.16464288,0.179775281,8.008008008,0.814606742
Census Tract 4.04,1,4,7.936507937,0.106741573,0.435,0.735955056,14.6539028,0.769662921,7.00280112,0.235955056,4,0.275280899,2.714285714,0.039325843,0.21704918,0.348314607,29.09320728,0.550561798,26.39383754,0.516853933,29.69306723,0.685393258,23.69446779,0.528089888,10.19761905,0.494382022,4.099244876,0.382022472,72,0.786516854,10.51478642,0.966292135,0.4819,0.719101124,0.330952381,0.679775281,24.9,0.713483146,33.4,0.584269663,31.05315076,0.443820225,2.871870398,0.584269663
Census Tract 119.02,1,4,3.743489583,0.421348315,0.51,0.893258427,10.22855002,0.578651685,23.50260417,0.93258427,6.770833333,0.511235955,15.26692708,0.893258427,0.049029982,0.202247191,23.71875,0.45505618,30.25,0.623595506,30.59375,0.707865169,19.59375,0.43258427,25.4375,0.876404494,7.408975445,0.584269663,43.56261023,0.387640449,2.22972973,0.303370787,0.3637,0.146067416,0.252115885,0.505617978,19.9,0.606741573,36.9,0.730337079,44.08483454,0.679775281,2.135631323,0.511235955
Census Tract 5.03,1,5,1.183898974,0.926966292,0.336,0.365168539,31.99343724,0.971910112,20.87608524,0.904494382,2.249408051,0.117977528,25.88792423,0.983146067,0.488,0.533707865,34.34254144,0.691011236,33.64167324,0.685393258,6.65824783,0.050561798,25.93212313,0.584269663,15.06866614,0.730337079,16.60692951,0.780898876,67.05454545,0.702247191,5.448154657,0.741573034,0.6066,0.988764045,0.365035517,0.752808989,33.9,0.898876404,34.9,0.646067416,13.88190807,0.04494382,5.414273995,0.747191011
Census Tract 6,1,4,2.620087336,0.674157303,0.349,0.460674157,5.79029734,0.421348315,3.347889374,0.050561798,13.42066958,0.792134831,6.608442504,0.258426966,0.257018393,0.370786517,29.45228916,0.56741573,28.85122203,0.56741573,29.45228916,0.674157303,22.84055078,0.516853933,11.11974182,0.533707865,11.74668029,0.702247191,77.34753146,0.882022472,2.192242833,0.292134831,0.4797,0.707865169,0.248810939,0.494382022,18,0.533707865,29,0.426966292,43.39901825,0.674157303,10.06781429,0.876404494
Census Tract 7.03,1,5,5.268703899,0.235955056,0.347,0.43258427,24.41176471,0.95505618,21.39093783,0.915730337,4.425711275,0.308988764,13.59325606,0.825842697,0.385702411,0.443820225,37.43940991,0.747191011,37.83350896,0.735955056,35.0748156,0.780898876,27.19283456,0.617977528,20.49315068,0.820224719,8.065532451,0.606741573,79.30174564,0.91011236,2.820121951,0.353932584,0.504,0.842696629,0.260800843,0.550561798,16.3,0.488764045,37.7,0.752808989,22.98541466,0.241573034,8.62745098,0.831460674
