NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,"Transportation Disadvantaged (0 = no, 1 = yes)","Health Disadvantaged (0 = no, 1 = yes)","Environmental Disadvantaged (0 = no, 1 = yes)","Economic Disadvantaged (0 = no, 1 = yes)","Resilience Disadvantaged (0 = no, 1 = yes)","Equity Disadvantaged (0 = no, 1 = yes)"
Census Tract 1.02,0,2,1,0,1,0,0,0
Census Tract 10,1,6,1,1,1,1,1,1
Census Tract 2.01,1,5,1,1,1,1,0,1
Census Tract 2.02,1,4,0,1,1,1,0,1
Census Tract 3.01,1,4,1,1,0,0,1,1
Census Tract 11.01,1,4,0,1,1,1,0,1
Census Tract 3.02,0,1,1,0,0,0,0,0
Census Tract 3.03,0,1,0,0,1,0,0,0
Census Tract 4.01,0,1,0,0,1,0,0,0
Census Tract 11.02,0,1,0,0,0,0,0,1
Census Tract 4.03,0,1,0,1,0,0,0,0
Census Tract 4.04,1,4,1,0,1,1,0,1
Census Tract 5.01,0,0,0,0,0,0,0,0
Census Tract 119.02,1,4,1,1,1,0,0,1
Census Tract 5.03,1,5,1,1,1,1,0,1
Census Tract 5.04,0,1,1,0,0,0,0,0
Census Tract 6,1,4,1,0,1,1,0,1
Census Tract 119.03,0,1,0,1,0,0,0,0
Census Tract 7.03,1,5,1,1,1,1,0,1
Census Tract 7.04,1,4,1,0,1,1,0,1
Census Tract 7.05,1,5,1,1,1,1,0,1
Census Tract 120.01,0,2,1,1,0,0,0,0
Census Tract 7.06,0,2,0,0,1,0,0,1
Census Tract 8,0,3,0,0,1,1,0,1
Census Tract 9.02,0,2,0,0,1,1,0,0
Census Tract 120.10,0,3,1,0,0,0,1,1
Census Tract 9.03,1,5,1,1,1,1,0,1
Census Tract 9.04,1,5,1,1,1,1,0,1
Census Tract 9.05,1,5,1,1,1,1,0,1
Census Tract 120.15,0,2,1,0,0,0,0,1
Census Tract 120.16,0,3,1,1,0,0,0,1
Census Tract 13.01,1,5,1,1,1,1,0,1
Census Tract 13.02,1,4,0,1,1,1,0,1
Census Tract 14.01,1,5,1,1,1,1,0,1
Census Tract 14.02,1,5,1,1,1,1,0,1
Census Tract 14.03,1,4,1,0,1,1,1,0
Census Tract 15,1,5,0,1,1,1,1,1
Census Tract 16.01,0,2,0,0,0,1,0,1
Census Tract 16.02,0,1,1,0,0,0,0,0
Census Tract 16.03,1,5,1,1,1,1,1,0
Census Tract 17.03,0,1,1,0,0,0,0,0
Census Tract 17.04,1,5,0,1,1,1,1,1
